AÑO;PR;TIPO RED;CTRA;TR;ESTAC ASOC;ESTAC AFORO;PK ESTAC;ESTAC AFÍN;DESCRIPCIÓN DEL TRAMO;LONG;PK INICIAL;PK FINAL;IMD AÑO;IMD-L AÑO;IMDp AÑO;% LIG AÑO;% PES AÑO;IMD AÑO ANT;IMD-L  AÑO ANT;IMDp AÑO ANT;% LIG AÑO ANT;%PES AÑO ANT;VELOCIDAD MEDIA;RANGO VELOC MEDIA;% MOTOS;% TURISMOS;% FURGON.;% TRACT.;% AUTOBUSES;% CAM. S/R;% CAM. ART.;% TREN CTRA.;% EXTRANJ.;% MER. PEL.;LÍMITE CCAA;LÍMITE PROVINCIA;DOBLE CALZADA
2010;ZA;CTL;ZA-306;2;ZA-4080;ZA-4080;17.0;ZA-1045;DE ZA-302 A MORALEJA DE SAYAGO;14.9;15.1;30.0;262;224;38;85.5;14.5;286;267;19;93.36;6.64;78;71-80;0.67;72.19;16.8;0.0;0.28;5.75;4.09;0.21;1.09;0.17;;;
2010;ZA;CIP;ZA-311;2;ZA-4260;ZA-4260;15.0;ZA-1055;DE BERMILLO DE SAYAGO A ALMEIDA (ZA-320);12.3;13.05;25.35;614;564;50;91.86;8.14;860;788;72;91.63;8.37;89;81-90;0.88;80.87;7.07;0.0;0.31;4.95;5.83;0.09;4.25;0.24;;;
2010;ZA;CIP;ZA-311;3;SA-4475;;;SA-1265;DE ALMEIDA (ZA-320) A LÍMITE DE PROVINCIA DE SALAMANCA;4.9;25.35;30.25;315;290;25;92.06;7.94;280;263;17;93.93;6.07;79;71-80;0.0;81.4;11.18;0.2;1.66;4.86;0.7;0.0;0.45;0.45;;SA;
2010;ZA;CTL;ZA-320;2;ZA-4245;ZA-4245;19.0;ZA-1055;DE FRESNO DE SAYAGO (ZA-302) A ALMEIDA (ZA-311);10.66;16.15;26.81;267;251;16;94.01;5.99;260;253;7;97.31;2.69;82;81-90;0.88;80.87;7.07;0.0;0.31;4.95;5.83;0.09;4.25;0.24;;;
2010;ZA;CIP;ZA-324;1;ZA-4440;ZA-4440;3.0;ZA-1275;DE RICOBAYO (N-122) A VILLALCAMPO;5.505;0.0;5.505;569;538;31;94.55;5.45;345;331;14;95.94;4.06;73;71-80;0.0;73.7;10.14;0.0;1.19;5.44;9.35;0.17;16.87;0.0;;;
2010;ZA;CIP;ZA-324;3;ZA-1275;ZA-1275;18.82;ZA-1275;DE MORALINA (ZA-311) A LA FRONTERA CON PORTUGAL;11.89;17.0;28.89;650;545;105;83.85;16.15;553;473;80;85.53;14.47;80;71-80;0.0;73.7;10.14;0.0;1.19;5.44;9.35;0.17;16.87;0.0;P;;
2010;ZA;CIP;ZA-512;2;ZA-4290;ZA-4290;16.0;ZA-1120;DE VILLANUEVA DEL CAMPO A LÍMITE DE PROVINCIA DE LEÓN;5.08;13.71;18.79;267;227;40;85.02;14.98;252;244;8;96.83;3.17;81;81-90;0.24;73.75;10.25;0.95;1.66;8.2;3.89;1.08;0.56;0.56;;LE;
2010;ZA;CTL;ZA-524;1;ZA-4520;ZA-4520;0.5;ZA-1120;DE LÍMITE DE PROVINCIA DE LEÓN A CASTROVERDE DE CAMPOS;9.77;0.0;9.77;382;352;30;92.15;7.85;568;500;68;88.03;11.97;78;71-80;0.24;73.75;10.25;0.95;1.66;8.2;3.89;1.08;0.56;0.56;;LE;
2010;ZA;CIP;ZA-602;3;ZA-4335;ZA-4335;24.3;ZA-1025;DE FUENTESAÚCO (CL-605) A FUENTELAPEÑA;10.36;19.0;29.36;623;575;48;92.3;7.7;662;511;151;77.19;22.81;82;81-90;0.09;65.5;13.61;0.87;0.28;5.5;14.14;0.0;0.0;0.53;;;
2010;ZA;CIP;ZA-605;2;ZA-1025;ZA-1025;30.1;ZA-1025;DE  LA BÓVEDA DE TORO (ZA-604) A FUENTESAÚCO;13.55;19.2;32.75;1134;908;226;80.07;19.93;1347;1091;256;80.99;19.01;80;71-80;0.09;65.5;13.61;0.87;0.28;5.5;14.14;0.0;0.0;0.53;;;
2010;ZA;CIP;ZA-605;3;SA-1120;;;SA-1120;DE FUENTESAÚCO A LÍMITE DE PROVINCIA DE SALAMANCA;4.85;32.75;37.6;1900;1683;217;88.58;11.42;1954;1707;247;87.36;12.64;79;71-80;0.48;78.21;8.11;1.79;0.25;5.71;5.15;0.31;0.23;1.35;;SA;
2010;ZA;CTL;ZA-611;1;ZA-4330;ZA-4330;0.5;ZA-1010;DE CL-602 A VALDEFINJAS;7.0;0.0;7.0;787;443;344;56.29;43.71;1045;589;456;56.36;43.64;85;81-90;0.3;62.93;13.81;2.09;0.83;9.12;10.71;0.21;0.03;0.51;;;
2010;ZA;CTL;ZA-623;1;ZA-4240;;;ZA-1055;DE MORALEJA DEL VINO A CASASECA DE LAS CHANAS;3.5;0.0;3.5;422;403;19;95.5;4.5;329;320;9;97.26;2.74;62;61-70;0.88;80.87;7.07;0.0;0.31;4.95;5.83;0.09;4.25;0.24;;;
2010;ZA;CIP;ZA-705;3;VA-1060;;;VA-1060;DE VILLALONSO, A LÍMITE DE PROVINCIA DE VALLADOLID;2.8;9.0;11.8;823;642;181;78.01;21.99;910;697;213;76.59;23.41;92;91-100;0.66;66.61;10.07;0.66;0.75;8.58;10.84;1.82;0.11;0.55;;VA;
2010;ZA;CIP;ZA-711;1;ZA-4460;ZA-4460;6.85;ZA-1140;DE CL-612 A CORESES;7.43;0.0;7.43;340;321;19;94.41;5.59;653;609;44;93.26;6.74;74;71-80;0.45;72.09;16.43;0.75;0.95;5.79;3.54;0.0;0.15;0.46;;;
2010;ZA;CIP;ZA-711;2;ZA-4460;;;ZA-1140;DE CORESES A N-122;2.47;7.43;9.9;340;321;19;94.41;5.59;653;609;44;93.26;6.74;71;71-80;0.45;72.09;16.43;0.75;0.95;5.79;3.54;0.0;0.15;0.46;;;
2010;ZA;CTL;ZA-713;2;ZA-4370;ZA-4370;5.0;ZA-1120;DE CRUCE CON A-11 A CASTRONUEVO (ZA-714);23.4;1.9;25.3;826;719;107;87.05;12.95;873;727;146;83.28;16.72;79;71-80;0.24;73.75;10.25;0.95;1.66;8.2;3.89;1.08;0.56;0.56;;;
2010;ZA;CTL;ZA-902;1;ZA-4420;ZA-4420;2.0;ZA-1120;DE TÁBARA (N-631) A SAN MARTÍN DE TÁBARA;10.97;0.0;10.97;196;193;3;98.47;1.53;264;171;93;64.77;35.23;69;61-70;0.24;73.75;10.25;0.95;1.66;8.2;3.89;1.08;0.56;0.56;;;
2010;ZA;CIP;ZA-912;1;ZA-4405;ZA-4405;5.0;ZA-1120;DE N-631 A SAN PEDRO DE LAS HERRERÍAS;18.82;0.0;18.82;480;408;72;85.0;15.0;554;432;122;77.98;22.02;78;71-80;0.24;73.75;10.25;0.95;1.66;8.2;3.89;1.08;0.56;0.56;;;
2010;ZA;CIP;ZA-912;2;ZA-4410;ZA-4410;31.0;ZA-1120;DE SAN PEDRO DE LAS HERRERÍAS A ALCAÑICES (N-122);22.88;18.82;41.7;537;491;46;91.43;8.57;537;491;46;91.43;8.57;77;71-80;0.47;74.37;11.22;0.95;1.35;8.25;2.71;0.68;0.62;0.85;;;
2011;LE;B;A-231;2;LE-0630;;;LE-0630;DE LE-512 A SANTAS MARTAS;10.4;9.5;19.9;9304;7182;2122;77.19;22.81;9453;7310;2143;77.33;22.67;86;81-90;0.06;69.3;7.83;0.0;0.24;6.13;16.44;0.0;3.45;1.4;;;SI
2011;PA;B;A-231;9;PA-1750;PA-1750;102.2;PA-1750;DE VILLAHERREROS (P-236) A  (A-67) OSORNO;7.1;98.3;105.4;7074;5209;1865;73.64;26.36;7480;5500;1980;73.53;26.47;106;101-110;0.25;67.21;6.18;0.0;0.31;4.02;20.73;1.3;10.74;1.14;;BU;SI
2011;VA;B;A-601;4;VA-0610;VA-0610;27.84;;DE VA-301 (PORTILLO) A VP-2203 (SANTIAGO DEL ARROYO);5.87;24.24;30.11;7044;6136;908;87.11;12.89;6659;5754;905;86.41;13.59;103;101-110;0.26;79.95;6.9;0.0;0.63;3.89;7.82;0.54;0.03;0.63;;;SI
